job_title,grade,jurisdictional_classification,negotiating_unit,job_level,agency_description
Accountant Aide,13,0.0,5.0,,Multiple Agencies
Accounting Program Dir,66,0.0,6.0,,"Comptroller, Office of"
Adaptive Equipment Specialist,14,1.0,5.0,,Multiple Agencies
Addictions Counselor 1,16,0.0,5.0,,Multiple Agencies
Addictions Counselor 1 Spanish Language,16,0.0,5.0,,Addiction Treatment Centers
Addictions Counselor 2,18,0.0,5.0,,Multiple Agencies
Addictions Counselor 2 Spanish Language,18,0.0,5.0,,Addiction Treatment Centers
Addictions Counselor 3,21,0.0,5.0,,Addiction Treatment Centers
Addictions Counselor Assnt,11,1.0,4.0,,Addiction Treatment Centers
Addictions Counselor Assnt Span Lang,11,1.0,4.0,,Addiction Treatment Centers
Addictions Planning Analyst 1,18,0.0,5.0,,"Addiction Services and Supports, Off of"
Addictions Planning Analyst 2,23,0.0,5.0,,"Addiction Services and Supports, Off of"
Addictions Planning Analyst 3,27,0.0,5.0,,"Addiction Services and Supports, Off of"
Addictions Planning Analyst 4,63,0.0,6.0,,"Addiction Services and Supports, Off of"
Addictions Program Specialist 1,18,0.0,5.0,,Multiple Agencies
Addictions Program Specialist 2,23,0.0,5.0,,"Addiction Services and Supports, Off of"
Addictions Program Specialist 2 Gambling,23,0.0,5.0,,"Addiction Services and Supports, Off of"
Addictions Program Specialist 3,25,0.0,5.0,,"Addiction Services and Supports, Off of"
Addictions Program Specialist 4,27,0.0,5.0,,"Addiction Services and Supports, Off of"
Admnv Assistant,NS,2.0,6.0,,Multiple Agencies
Admnv Assistant 1,11,0.0,2.0,,Multiple Agencies
Admnv Assistant 1 French L,11,0.0,2.0,,"SUNY-Admin,Coll+Univs"
Admnv Assistant 1 Russian L,11,0.0,2.0,,"Albany, State University at"
Admnv Assistant 1 Spanish L,11,0.0,2.0,,Multiple Agencies
Admnv Assistant 2,15,0.0,2.0,,Multiple Agencies
Admnv Officer,NS,0.0,6.0,,Multiple Agencies
Admnv Specialist 1,18,0.0,5.0,,Multiple Agencies
Admnv Specialist 2,23,0.0,5.0,,Multiple Agencies
Admr New York State Veterans Home,68,1.0,6.0,,Health - M/O+Facs
Advocacy Specialist 2,18,1.0,5.0,,Multiple Agencies
Advocacy Specialist 3,23,1.0,5.0,,Multiple Agencies
Advocacy Specialist 4,25,1.0,5.0,,Multiple Agencies
Advocacy Specialist 5,27,1.0,5.0,,Justice Center
Affirmative Action Admr 4,62,1.0,6.0,,Multiple Agencies
Affirmative Action Admr 5,63,1.0,6.0,,"Employee Relations, Office of"
Agency Emergency Management Coord,23,0.0,5.0,,Multiple Agencies
Agency Emergency Management Coordinator ITS,23,1.0,5.0,,"Information Technology Services, Office of"
Agency Emergency Management Supervisor,25,1.0,5.0,,Multiple Agencies
Agency Emergency Management Supervisor ITS,25,6.0,5.0,,"Information Technology Services, Office of"
Agency Safety & Health Dir 1,23,0.0,6.0,,Multiple Agencies
Agency Safety & Health Dir 2,62,0.0,6.0,,Multiple Agencies
Agency Safety & Health Rep 1,14,0.0,5.0,,Multiple Agencies
Agency Safety & Health Rep 2,20,0.0,5.0,,Multiple Agencies
Aging Services Area Supvr,25,0.0,5.0,,"Aging, Office for the"
Aging Services Nutrition Consultant 1,20,0.0,5.0,,"Aging, Office for the"
Aging Services Nutrition Consultant 2,22,0.0,5.0,,"Aging, Office for the"
Aging Services Program Analyst 2,18,0.0,5.0,,"Aging, Office for the"
Aging Services Program Analyst 3,23,0.0,5.0,,"Aging, Office for the"
Aging Services Rep,21,0.0,5.0,,"Aging, Office for the"
Aging Services Rep Spanish Language,21,0.0,5.0,,"Aging, Office for the"
Aids Program Manager 1,27,0.0,5.0,,"Health, Department of"
Aids Program Manager 2,29,0.0,5.0,,"Health, Department of"
Aids Program Manager 3,64,0.0,6.0,,"Health, Department of"
Aids Program Rep 1,16,1.0,5.0,,"Health, Department of"
Aids Program Rep 2,20,1.0,5.0,,"Health, Department of"
Air Pollution Meteorologist 1,18,0.0,5.0,,"Environmental Conservation, Dept of"
Air Pollution Meteorologist 2,22,0.0,5.0,,"Environmental Conservation, Dept of"
Air Pollution Meteorologist 3,27,0.0,5.0,,"Environmental Conservation, Dept of"
Aircraft Maintenance Supvr,23,1.0,5.0,,"State Police, Division of"
Aircraft Mechanic,21,1.0,3.0,,"State Police, Division of"
Aircraft Pilot,NS,2.0,6.0,,"State Police, Division of"
Aircraft Scheduling Assnt,15,0.0,6.0,,"State Police, Division of"
Alcohol & Substance Abuse Treatment Prg Assnt,14,0.0,5.0,,Corrections - M/O+Facs
Alcohol & Substance Abuse Treatment Prg Assnt S L,14,0.0,5.0,,Corrections - M/O+Facs
Alcohol Recovery Program Aide,NS,2.0,6.0,,"Corrections and Community Supervision, Dept of"
Animal Health Inspector 1,14,0.0,5.0,,Multiple Agencies
Animal Health Inspector 2,18,0.0,5.0,,"Agriculture & Markets, Dept of"
